TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,19,63,3941,104,112.1,-8.1,54.8,1.43,15.8,31.3,68.9,49.5,15.1,48,52.4,92.26,44.8,"7,576"
Utah Jazz,82,48,34,3976,108.5,105.8,2.7,64.4,1.67,18.4,31.6,69.3,50.5,15.5,50.4,55.4,94.47,53.5,"7,827"
Toronto Raptors,82,33,49,3961,105.5,108.6,-3,60.1,1.67,17.5,27.6,70.6,49.3,14.3,49.4,54.2,93.26,49.2,"7,697"
San Antonio Spurs,82,54,28,3981,107.6,103.4,4.2,57.1,1.8,17.3,25.8,74,50.2,13,51.3,54.8,89.19,52.3,"7,395"
Sacramento Kings,82,17,65,3981,104.4,113.4,-9,54.1,1.28,15.3,28.9,66.9,47.7,16,49.1,54.2,95.29,44,"7,901"
Portland Trail Blazers,82,54,28,3966,112.1,106.1,6,55.2,1.58,16.4,35.5,70.8,52.8,14.5,51.1,55.3,88.02,53.1,"7,273"
Phoenix Suns,82,46,36,3951,112.4,110.4,2,56.5,1.48,17.4,30.8,68.2,50.3,16.1,54.5,58.4,96.99,52.5,"7,984"
Philadelphia 76ers,82,41,41,3951,106.3,106.1,0.2,55,1.42,15.8,34.2,68,50.8,15.4,48.5,53.2,91.3,50.3,"7,512"
Orlando Magic,82,59,23,3946,108.3,101.3,7.1,54.4,1.39,15.6,27.3,71.7,50.2,14.9,52,55.9,92.99,54.5,"7,649"
Oklahoma City Thunder,82,23,59,3961,101.4,107.6,-6.2,55.5,1.25,15.6,30.9,71.6,50.8,17,47.1,52.1,95.1,46.4,"7,841"
New York Knicks,82,32,50,3961,107,109.4,-2.5,55.1,1.48,16,27.7,69.6,48,14.6,50.3,54.4,97.82,46.7,"8,066"
New Orleans Hornets,82,49,33,3951,107.6,105.8,1.8,55.3,1.56,16.3,28.2,70.7,49.6,14.1,50.1,54.8,88.74,51.5,"7,303"
New Jersey Nets,82,34,48,3966,106.8,109.5,-2.7,55.9,1.52,16,28.8,70.3,49.3,14.3,49.7,54.3,91.12,47.4,"7,530"
Minnesota Timberwolves,82,24,58,3961,104.9,109.9,-5,56.1,1.44,15.9,32.1,71.7,51.1,15.2,48.1,52.6,92.76,45.3,"7,645"
Milwaukee Bucks,82,34,48,3956,105.2,106.3,-1.1,59.9,1.56,16.8,31,69.9,49.6,14.9,48.3,53.1,93.89,48.5,"7,736"
Miami Heat,82,43,39,3991,106.8,106.5,0.3,55.1,1.63,16.3,28.2,69.3,48.4,13.6,50,54,90.8,50.5,"7,547"
Memphis Grizzlies,82,24,58,3961,102.3,108.2,-6,49.7,1.14,14.2,29.7,69.7,49.5,16.6,48.6,53.3,91.22,45.7,"7,528"
Los Angeles Lakers,82,65,17,3956,111.4,103.5,7.9,57.7,1.73,17.3,32.6,69.8,51.4,14,51.3,55.5,95.49,54.7,"7,874"
Los Angeles Clippers,82,19,63,3976,101,110.1,-9.2,58.3,1.41,16.4,28.7,67.9,47.9,15.8,48.1,52,93.3,44.1,"7,723"
Indiana Pacers,82,36,46,3966,107.2,108.2,-1,55.1,1.49,16.3,29.1,70.7,49.8,14.8,50.1,54.5,97.34,48.9,"8,037"
Houston Rockets,82,53,29,3961,107.1,102.9,4.2,56.2,1.44,16.2,30.8,71.4,51.7,15.4,50.1,54.8,91.23,53,"7,532"
Golden State Warriors,82,29,53,3976,108,111.7,-3.7,53,1.42,15.4,29.3,65.2,47.3,14.6,49.7,54.9,99.57,47.8,"8,247"
Detroit Pistons,82,39,43,3981,105.8,106.4,-0.6,56.7,1.74,16.7,31.1,71.1,50.8,13.3,48.3,52.4,88.02,49.6,"7,302"
Denver Nuggets,82,54,28,3946,109,105.6,3.4,59.5,1.45,16.9,31.1,68.3,50.3,16,51.2,56.3,95.39,52.9,"7,848"
Dallas Mavericks,82,50,32,3961,109,107,2,56.9,1.71,17,29.7,70.7,50.4,13.6,50.4,55,92.68,52.2,"7,651"
Cleveland Cavaliers,82,66,16,3956,111.2,101.6,9.6,55,1.59,16.4,30.6,70.7,51.2,14.1,51.9,56,89.61,55.9,"7,395"
Chicago Bulls,82,41,41,3986,107.2,107.5,-0.3,55.4,1.45,16.1,32.1,67.5,49.8,15.3,49.3,54.1,94.1,49.9,"7,816"
Charlotte Bobcats,82,35,47,3986,103.7,105,-1.3,60.7,1.36,17,32.1,68.6,50.4,17.3,49.4,53.6,89.18,49.5,"7,401"
Boston Celtics,82,62,20,3976,109.5,101.6,7.9,60.6,1.45,17.8,31.4,71.5,52.4,16.9,52.8,57.1,91.15,56.2,"7,560"
Atlanta Hawks,82,47,35,3941,108.3,106.7,1.7,56.1,1.58,16.4,29.5,68.2,49,14.1,50.4,54.6,90.44,50.7,"7,428"
