TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,43,39,3981,107.6,107.9,-0.3,53.8,1.49,15.6,32,69.5,50.3,14.4,48.9,53.5,90.85,48.8,"7,533"
Utah Jazz,82,54,28,3941,112.1,104.9,7.2,66,1.8,19.6,32.7,71,52.1,15.4,52.8,57.3,94.64,55.6,"7,773"
Toronto Raptors,82,41,41,3966,108.9,105.6,3.3,62,2.04,18.7,26.9,70.9,48.9,12.7,51.1,55.1,91.35,51.9,"7,543"
Seattle SuperSonics,82,20,62,3966,99.6,108.3,-8.6,55.9,1.33,15.9,30.5,70,50.2,16.3,46.7,50.9,97.32,45,"8,030"
San Antonio Spurs,82,56,26,3946,106,100.7,5.3,58.5,1.66,17.1,26.8,73.3,50.3,14,50.4,54.3,89.72,53.3,"7,377"
Sacramento Kings,82,38,44,3966,106.2,108.6,-2.4,51.5,1.19,14.9,29,68.9,49.3,16.6,50.3,55.6,95.81,48.3,"7,920"
Portland Trail Blazers,82,41,41,3981,105.9,106.8,-0.8,59,1.64,17,30.3,68.4,49.5,14.3,48.9,53.2,89.1,49.5,"7,381"
Phoenix Suns,82,55,27,3956,112,107,5,64.5,1.85,19.7,25.3,67.4,48.1,14.7,55.1,59,97.72,55.6,"8,058"
Philadelphia 76ers,82,40,42,3951,105.1,104.7,0.5,54.7,1.43,15.9,35.1,68.8,51.5,15.6,48.2,52.2,91.56,50,"7,536"
Orlando Magic,82,52,30,3956,110.4,104.9,5.6,55.8,1.45,16.4,27.4,70.9,50.1,15.1,53.7,57.5,94.02,52.9,"7,757"
New York Knicks,82,23,59,3976,103.5,110.4,-6.8,51.6,1.29,14.7,32.1,69.7,50.2,15.5,47.5,51.8,92.76,44,"7,676"
New Orleans Hornets,82,56,26,3961,110,104.4,5.6,56.4,1.83,17.2,30,71.7,50.6,13,51.2,54.8,91.04,52.6,"7,517"
New Jersey Nets,82,34,48,3966,102.3,107.7,-5.4,67.4,1.57,18,30,70.6,50.2,16,48.1,52.8,92.96,47.5,"7,679"
Minnesota Timberwolves,82,22,60,3946,102.7,110,-7.3,53,1.37,15.6,31.4,70.3,50.1,15.6,48.4,51.8,92.84,43.5,"7,632"
Milwaukee Bucks,82,26,56,3971,103.9,111.1,-7.2,58.2,1.45,16.5,33.2,69.4,50.6,15.8,48.2,52.2,92.61,45.2,"7,654"
Miami Heat,82,15,67,3966,99.4,108.8,-9.4,58.5,1.37,16.3,26.4,68.1,47,15.9,48.2,52.2,91.24,44.5,"7,538"
Memphis Grizzlies,82,22,60,3961,103.9,110.2,-6.3,51.4,1.26,14.9,27.7,70.6,48.9,15.7,50,53.9,96.33,45.1,"7,945"
Los Angeles Lakers,82,57,25,3956,111.7,104.3,7.3,61.7,1.73,18.1,29.7,70.2,50.7,14.5,52.5,57,96.7,55.1,"7,974"
Los Angeles Clippers,82,23,59,3961,99.9,107.4,-7.5,61.4,1.47,16.7,26.7,70.3,48.4,15.3,46.5,51.9,93.38,46.1,"7,698"
Indiana Pacers,82,36,46,3951,105.1,106.3,-1.2,60.1,1.51,16.9,27.8,70.1,48.7,15.2,49.8,54,98.64,48.5,"8,111"
Houston Rockets,82,55,27,3946,105.4,100.5,4.8,58.5,1.56,16.8,32.3,71.1,51.9,15,49.2,52.8,91.42,53.5,"7,525"
Golden State Warriors,82,48,34,3956,110.4,108.5,1.9,53.9,1.69,16.3,30.1,67.2,48.1,13.1,51.1,54.8,99.96,49.6,"8,249"
Detroit Pistons,82,59,23,3946,109.8,101.5,8.3,61.1,1.92,17.8,32.7,70,51.3,13.1,49.5,53.9,88.54,55.2,"7,279"
Denver Nuggets,82,50,32,3971,108.9,105.5,3.4,61.2,1.68,17.7,29.2,68.6,49.4,14.4,51,55.7,100.58,52.9,"8,330"
Dallas Mavericks,82,51,31,3946,109.5,104.7,4.8,56.9,1.66,16.7,30,71.6,51.4,13.8,50.2,55.4,91.38,53.6,"7,518"
Cleveland Cavaliers,82,45,37,3971,104.8,105.4,-0.6,55.8,1.43,15.7,33.4,71.5,51.8,15.2,48,52,91.06,49,"7,540"
Chicago Bulls,82,33,49,3961,102.9,106,-3.1,60.6,1.51,16.7,32.5,68.7,50,15.4,47,51.5,94.04,48,"7,754"
Charlotte Bobcats,82,32,50,3976,103.7,108.2,-4.5,59.1,1.45,16.6,29.4,67.4,48.3,15.7,49.2,53.2,92.75,46.9,"7,678"
Boston Celtics,82,66,16,3951,108.8,98.1,10.8,61.4,1.47,17.6,30.6,70.7,51.8,16.4,52.2,56.9,91.88,58.1,"7,575"
Atlanta Hawks,82,37,45,3971,105.5,107.3,-1.8,60.6,1.48,17,32.9,68.2,50.6,16,48.3,53.5,92.35,49.8,"7,634"
